stamp,suite,state,query,paimon_ms,iceberg_ms,ratio_iceberg_over_paimon,paimon_rows,iceberg_rows
20260921T211055Z,SNAPSHOT,uncompacted,Q1_count,5622,5478,0.97x,1,1
20260921T211055Z,SNAPSHOT,uncompacted,Q2_group_by,5553,5766,1.04x,10,10
20260921T211055Z,SNAPSHOT,uncompacted,Q3_join,5685,5488,0.97x,20,20
20260921T211055Z,SNAPSHOT,uncompacted,Q4_product_sales,6124,5564,0.91x,20,20
20260921T211055Z,SNAPSHOT,uncompacted,Q5_time_window,5666,5554,0.98x,1,1
20260921T211055Z,SNAPSHOT,uncompacted,Q6_multi_join,6560,5980,0.91x,90,90
20260921T211055Z,HOT,uncompacted,Q7_freshness,5626,5345,0.95x,1,1
20260921T211055Z,HOT,uncompacted,Q8_hot_pk_lookup,5850,5468,0.93x,1,1
20260921T211055Z,HOT,uncompacted,Q9_recent_window,5718,5344,0.93x,5,0
0
20260921T211055Z,HOT,uncompacted,Q10_hot_join,5979,5467,0.91x,5,0
0
